,year,quarter,testimony,minutes,beige,speech1,speech2,btr,btc,inf,uem,itr,label
1,2010,4,0.0062977671623229,0.9994640350341798,0.9621573686599731,0.21461495757102964,0.016167898972829182,109.86122886681092,0.3,1.22978,9.5,0.19,0.0
2,2011,1,-0.4622575789690017,0.9943925142288208,0.99892395734787,0.14273987213770545,0.13889025979571873,98.08292530117264,0.8,2.14822,9.033333333333331,0.17,0.0
3,2011,2,0.7970964670181274,0.9986269474029541,0.0272403955459594,0.6067711226642132,0.37012181803584093,300.1962823304627,16.1,3.34611,9.066666666666666,0.1,0.0
4,2011,3,0.3453891277313232,-0.9993171989917755,-0.999371737241745,0.4604446717670986,0.17532392059053697,-114.95787322601372,5.1,3.71595,9.0,0.07,0.0
5,2011,4,0.4794811010360718,0.9946474730968475,0.9957481026649476,0.0015550673007964978,-0.18653727769851686,-8.167803101426706,4.7,3.34473,8.633333333333333,0.07,0.0
6,2012,1,0.2705084627324884,0.998201996088028,0.0195986628532409,0.796363627910614,0.39513927698135376,4.167269640056803,4.9,2.82932,8.266666666666666,0.08,1.0
7,2012,2,0.66273961464564,0.9991267025470734,0.9998001754283904,0.19326498359441752,-0.008553907275199918,31.28723212803395,6.7,1.88792,8.2,0.14,1.0
8,2012,3,0.932808756828308,0.0001882314682006836,-0.9972394704818726,0.6692892909049988,0.3567811946074168,61.55889462140707,12.4,1.68486,8.033333333333333,0.16,0.0
9,2012,4,0.9984094500541688,-0.9993498921394348,0.1508984863758087,0.3543798973162969,0.024407873551050802,8.499321283339256,13.5,1.90357,7.8,0.16,0.0
10,2013,1,0.3215897480646769,7.331371307373047e-06,7.781386375427246e-05,0.4381478503346443,-0.25410119444131846,192.9909807708873,93.0,1.7402,7.733333333333332,0.14,0.0
11,2013,2,0.5992955803871155,-0.00025665760040288754,0.0149218440055847,-0.028362603748545906,0.06138862581814036,4.725288485054513,97.5,1.41472,7.533333333333333,0.15,0.0
12,2013,3,0.0159782171249389,0.9994966983795166,0.0167914032936096,0.6880130529403686,-0.10935148000717165,37.52702061621953,141.9,1.50495,7.233333333333332,0.09,0.0
13,2013,4,0.9997454285621644,0.01036044955253601,0.0004773736000061,0.3699428662657738,0.2214956134557724,173.68370811644692,805.9,1.2073,6.933333333333333,0.09,0.0
14,2014,1,0.9300438046455384,0.9991448223590851,0.9997422099113464,0.6979604874338422,-0.08885541132518222,-59.45597678138155,444.7,1.42991,6.666666666666666,0.07,0.0
15,2014,2,0.9988508224487304,0.9906182885169982,-0.9956513345241548,0.2408921393481168,-0.25354299220171844,35.63825692922791,635.1,2.08034,6.2,0.09,1.0
16,2014,3,0.4320192635059356,0.997271865606308,0.007931649684906,0.034828223288059276,-0.004592470824718475,-49.22617960740201,388.2,1.79097,6.066666666666666,0.09,0.0
17,2014,4,0.008891075849533,0.9980908334255219,0.9998515844345092,0.26306992769241333,-0.16070073843002317,-19.88405548312233,318.2,1.16401,5.7,0.09,1.0
18,2015,1,-0.3254514733950297,-0.9613683819770812,0.9996382892131804,0.2708141356706619,0.24539742618799207,-26.510213850477182,244.1,-0.11289,5.533333333333333,0.11,0.0
19,2015,2,0.0711913108825683,0.9903361201286316,0.9978604316711426,0.5028468645535983,0.3404158674753629,7.8749841904172335,264.1,0.03701,5.433333333333333,0.12,1.0
20,2015,3,0.0700471699237823,0.13590046763420105,0.9990098178386688,0.45853971583502634,0.12898973907743183,-11.291983288945762,235.9,0.15861,5.1,0.13,0.0
21,2015,4,0.0071063935756683,0.9952704310417175,-0.0007011294364929,0.3299817721048991,0.20262148777643837,60.03772222739787,430.0,0.40047,5.033333333333333,0.12,1.0
22,2016,1,0.9983929991722108,-0.04942578077316284,-0.0856822729110717,0.5011870960394541,-0.0018626153469086248,-3.3821362429016237,415.7,0.99184,4.9,0.34,1.0
23,2016,2,0.0020680725574493,0.004305213689804188,-0.002167671918869,-0.1284257428986685,-0.42558462279183523,47.731386612642,670.0,1.11003,4.933333333333333,0.37,1.0
24,2016,3,0.9978797137737274,-0.1326643824577331,0.0034929811954498,0.94753697514534,0.49194759130477905,-9.69383702589477,608.1,1.15715,4.9,0.39,1.0
25,2016,4,-0.6405518651008606,0.9928940236568451,-0.995060920715332,0.4500278451225974,-0.09482811797748912,46.01293520700569,963.4,1.80698,4.766666666666667,0.4,1.0
26,2017,1,0.9994662404060364,0.8056895732879639,-0.9958483278751372,-0.12843943304485744,0.12284673584832086,11.34139451735674,1079.1,2.58713,4.566666666666666,0.65,1.0
27,2017,2,0.9996696710586548,0.9940366744995117,-0.9944300949573516,0.022070308526356996,0.6619879106680552,83.23731060115414,2480.6,1.89059,4.366666666666666,0.9,1.0
28,2017,3,0.998908281326294,0.9994124174118042,-0.991948127746582,-0.19864073991775508,0.5958009362220764,56.41091961727183,4360.6,1.94494,4.333333333333333,1.15,1.0
29,2017,4,0.99701327085495,0.869333416223526,-0.9876035749912262,0.11802274530584161,0.11926123770800502,115.57044505109192,13850.4,2.10778,4.166666666666666,1.15,1.0
30,2018,1,0.9995290040969848,-0.9988865852355956,0.0025546252727508,0.24730835855007166,0.2978578433394432,-69.12717381994291,6938.2,2.221,4.033333333333333,1.41,1.0
31,2018,2,0.9994252920150756,0.00039440393447870425,-0.9940577149391174,0.21413631439208985,0.004461425542831421,-8.091627428987458,6398.9,2.68761,3.9333333333333327,1.69,1.0
32,2018,3,0.8797401189804077,0.0024031102657318115,0.0029395818710327,-0.3329008022944132,0.24019136031468713,3.626270991655289,6635.2,2.64316,3.7666666666666666,1.91,1.0
33,2018,4,0.9964885115623474,-0.8747031092643738,0.9995857775211334,0.6849366774161657,0.32014643649260205,-58.15186720369301,3709.4,2.20502,3.8333333333333326,2.19,1.0
34,2019,1,0.998110055923462,-0.9389355480670929,-0.0002146065235137,0.6969360560178757,0.42443632483482363,10.067765355897151,4102.3,1.62017,3.866666666666666,2.4,1.0
35,2019,2,0.9989620447158812,0.9973781108856201,-0.97849902510643,0.17231683135032655,0.08667131662368775,96.97190829962192,10818.6,1.8358,3.6,2.42,0.0
36,2019,3,-0.3324607412020365,-0.0005985498428344727,-0.0101438760757446,-0.12728606164455414,0.14972300827503204,-26.690471776144346,8284.3,1.76934,3.633333333333333,2.4,0.0
37,2019,4,0.3196380734443664,-0.9914902051289878,-0.0101438760757446,0.32481499910354616,0.30329476197560634,-14.078125628646989,7196.4,2.01644,3.6,1.83,0.0
38,2020,1,0.999030828475952,0.08349508047103887,0.0026808679103851,0.09084176475351506,-0.047369100830771727,-11.533169048343872,6412.5,2.10244,3.8,1.55,0.0
39,2020,2,0.5976935505867005,-0.9991705417633056,-0.9942707121372224,0.5454932583702935,0.553235239452786,35.390776600442564,9135.4,0.44474,12.966666666666669,0.05,0.0
40,2020,3,-0.2781737446784973,0.9977866411209106,-0.9968406558036804,0.22917517274618154,-0.028742365539073916,16.517374244490846,10776.1,1.25385,8.833333333333332,0.09,0.0
41,2020,4,-0.1603277623653412,-0.948996365070343,-0.9959856271743774,0.44056637287139894,0.10410099923610687,98.8218759469408,28949.4,1.20009,6.766666666666667,0.09,0.0
42,2021,1,0.0020078420639038,0.9578330516815186,0.001776099205017,0.5360518130991194,-0.21678712632921007,70.79748389130901,58763.7,1.89726,6.2,0.09,0.0
43,2021,2,0.3332278728485107,0.865968257188797,0.9994891881942748,0.4977259735266368,0.4735299696524938,-51.74079796105104,35026.9,4.81323,5.9,0.07,0.0
44,2021,3,0.9996630251407624,0.018144160509109497,0.999849021434784,0.5900577127933502,0.4125829339027405,22.404930169210324,43823.3,5.29055,5.1,0.1,0.0
45,2021,4,0.9995342493057252,0.9921075105667114,-0.987153172492981,0.3105462282896042,-0.0714081943035126,5.323614754962769,46219.5,6.72125,4.2333333333333325,0.08,0.0
46,2022,1,0.9965218305587769,0.02495786547660822,0.0037327110767364,0.5816082119941711,0.5892026543617248,-1.51401613462685,45525.0,8.00039,3.8,0.08,1.0
